date,ticker,close,adjusted_close,volume
2022-02-10,MSFT,302.380005,299.572968,45386200
2022-02-11,MSFT,295.040009,292.301117,39175600
2022-02-14,MSFT,295,292.261505,36359500
2022-02-15,MSFT,300.470001,297.680695,27058300
2022-02-16,MSFT,299.5,297.333221,29982100
2022-02-17,MSFT,290.730011,288.626678,32461600
2022-02-18,MSFT,287.929993,285.846924,34264000
2022-02-22,MSFT,287.720001,285.638458,41736100
2022-02-23,MSFT,280.269989,278.24234,37811200
2022-02-24,MSFT,294.589996,292.45874,56989700
2022-02-25,MSFT,297.309998,295.159058,32546700
2022-02-28,MSFT,298.790009,296.628357,34627500
2022-03-01,MSFT,294.950012,292.816132,31217800
2022-03-02,MSFT,300.190002,298.018219,31873000
2022-03-03,MSFT,295.920013,293.779144,27314500
2022-03-04,MSFT,289.859985,287.762939,32356500
2022-03-07,MSFT,278.910004,276.892181,43157200
2022-03-08,MSFT,275.850006,273.854309,48159500
2022-03-09,MSFT,288.5,286.412811,35204500
2022-03-10,MSFT,285.589996,283.523834,30628000
2022-03-11,MSFT,280.070007,278.043793,27209300
2022-03-14,MSFT,276.440002,274.440063,30660700
2022-03-15,MSFT,287.149994,285.072571,34245100
2022-03-16,MSFT,294.390015,292.260223,37826300
2022-03-17,MSFT,295.220001,293.084167,30816600
2022-03-18,MSFT,300.429993,298.2565,43390600
2022-03-21,MSFT,299.160004,296.995697,28351200
2022-03-22,MSFT,304.059998,301.860229,27599700
2022-03-23,MSFT,299.48999,297.323273,25715400
2022-03-24,MSFT,304.100006,301.899963,24484500
2022-03-25,MSFT,303.679993,301.482971,22566500
2022-03-28,MSFT,310.700012,308.452209,29578200
2022-03-29,MSFT,315.410004,313.128113,30393400
2022-03-30,MSFT,313.859985,311.589325,28163600
2022-03-31,MSFT,308.309998,306.079468,33422100
2022-04-01,MSFT,309.420013,307.181488,27110500
2022-04-04,MSFT,314.970001,312.691315,24289600
2022-04-05,MSFT,310.880005,308.63089,23156700
2022-04-06,MSFT,299.5,297.333221,40110400
2022-04-07,MSFT,301.369995,299.189697,31411200
2022-04-08,MSFT,296.970001,294.821503,24361900
2022-04-11,MSFT,285.26001,283.196259,34569300
2022-04-12,MSFT,282.059998,280.019379,30966700
2022-04-13,MSFT,287.619995,285.539154,21907200
2022-04-14,MSFT,279.829987,277.805542,28221600
2022-04-18,MSFT,280.519989,278.49054,20778000
2022-04-19,MSFT,285.299988,283.235931,22297700
2022-04-20,MSFT,286.359985,284.288269,22906700
2022-04-21,MSFT,280.809998,278.778442,29454600
2022-04-22,MSFT,274.029999,272.047485,29405800
2022-04-25,MSFT,280.720001,278.689087,35678900
2022-04-26,MSFT,270.220001,268.265076,46518400
2022-04-27,MSFT,283.220001,281.17099,63477700
2022-04-28,MSFT,289.630005,287.534607,33646600
2022-04-29,MSFT,277.519989,275.512238,37073900
2022-05-02,MSFT,284.470001,282.411926,35151100
2022-05-03,MSFT,281.779999,279.741425,25978600
2022-05-04,MSFT,289.980011,287.882111,33599300
2022-05-05,MSFT,277.350006,275.343475,43260400
2022-05-06,MSFT,274.730011,272.742432,37780300
2022-05-09,MSFT,264.579987,262.665833,47726000
2022-05-10,MSFT,269.5,267.550293,39336400
2022-05-11,MSFT,260.549988,258.665009,48975900
2022-05-12,MSFT,255.350006,253.50264,51033800
2022-05-13,MSFT,261.119995,259.230927,34925100
2022-05-16,MSFT,261.5,259.608154,32550900
2022-05-17,MSFT,266.820007,264.889679,28828800
2022-05-18,MSFT,254.080002,252.82933,31356000
2022-05-19,MSFT,253.139999,251.893951,32692300
2022-05-20,MSFT,252.559998,251.316803,39199300
2022-05-23,MSFT,260.649994,259.366974,33175400
2022-05-24,MSFT,259.619995,258.342041,29043900
2022-05-25,MSFT,262.519989,261.227783,28547900
2022-05-26,MSFT,265.899994,264.591125,25002100
2022-05-27,MSFT,273.23999,271.894989,26910800
2022-05-31,MSFT,271.869995,270.531769,37827700
2022-06-01,MSFT,272.420013,271.079041,25292200
2022-06-02,MSFT,274.579987,273.228394,44008200
2022-06-03,MSFT,270.019989,268.690857,28059000
2022-06-06,MSFT,268.75,267.427094,22400300
2022-06-07,MSFT,272.5,271.158661,22860700
2022-06-08,MSFT,270.410004,269.078949,17372300
2022-06-09,MSFT,264.790009,263.486633,26439700
2022-06-10,MSFT,252.990005,251.74469,31422800
2022-06-13,MSFT,242.259995,241.067505,46135800
2022-06-14,MSFT,244.490005,243.28653,28651500
2022-06-15,MSFT,251.759995,250.520737,33111700
2022-06-16,MSFT,244.970001,243.76416,33169200
2022-06-17,MSFT,247.649994,246.430969,43084800
2022-06-21,MSFT,253.740005,252.490997,29928300
2022-06-22,MSFT,253.130005,251.884003,25939900
2022-06-23,MSFT,258.859985,257.585785,25861400
2022-06-24,MSFT,267.700012,266.382294,33923200
2022-06-27,MSFT,264.890015,263.586121,24615100
2022-06-28,MSFT,256.480011,255.217514,27295500
2022-06-29,MSFT,260.26001,258.978912,20069800
2022-06-30,MSFT,256.829987,255.565781,31730900
2022-07-01,MSFT,259.579987,258.302216,22837700
2022-07-05,MSFT,262.850006,261.556152,22941000
2022-07-06,MSFT,266.209991,264.899597,23824400
2022-07-07,MSFT,268.399994,267.078827,20859900
2022-07-08,MSFT,267.660004,266.342468,19658800
2022-07-11,MSFT,264.51001,263.207977,19455200
2022-07-12,MSFT,253.669998,252.421326,35868500
2022-07-13,MSFT,252.720001,251.476013,29497400
2022-07-14,MSFT,254.080002,252.82933,25102800
2022-07-15,MSFT,256.720001,255.456314,29774100
2022-07-18,MSFT,254.25,252.998474,20975000
2022-07-19,MSFT,259.529999,258.252502,25012600
2022-07-20,MSFT,262.269989,260.979004,22788300
2022-07-21,MSFT,264.839996,263.536346,22404700
2022-07-22,MSFT,260.359985,259.0784,21881300
2022-07-25,MSFT,258.829987,257.555908,21056000
2022-07-26,MSFT,251.899994,250.660034,39348000
2022-07-27,MSFT,268.73999,267.417145,45994000
2022-07-28,MSFT,276.410004,275.049408,33459300
2022-07-29,MSFT,280.73999,279.358093,32152800
2022-08-01,MSFT,278.01001,276.641541,21539600
2022-08-02,MSFT,274.820007,273.467224,22754200
2022-08-03,MSFT,282.470001,281.079559,23518900
2022-08-04,MSFT,283.649994,282.253754,18098700
2022-08-05,MSFT,282.910004,281.517395,16774600
2022-08-08,MSFT,280.320007,278.940155,18739200
2022-08-09,MSFT,282.299988,280.9104,23405200
2022-08-10,MSFT,289.160004,287.736633,24687800
2022-08-11,MSFT,287.019989,285.607147,20065900
2022-08-12,MSFT,291.910004,290.473114,22619700
2022-08-15,MSFT,293.470001,292.025452,18085700
2022-08-16,MSFT,292.709991,291.269165,18102900
